,Sex,Age_Group,Drinking_Stage,Rate,Year,Race
0,Female,18-34,Abs,0.5290581999999999,2000,White
1,Female,18-34,High,0.019420299999999998,2000,White
2,Female,18-34,Low,0.4217141999999999,2000,White
3,Female,18-34,Med,0.028961899999999992,2000,White
4,Female,18-34,Very High,0.0008453999999999997,2000,White
5,Female,35-54,Abs,0.5793697000000001,2000,White
6,Female,35-54,High,0.004300300000000001,2000,White
7,Female,35-54,Low,0.37272320000000003,2000,White
8,Female,35-54,Med,0.042110400000000006,2000,White
9,Female,35-54,Very High,0.0014964000000000002,2000,White
10,Female,55 and over,Abs,0.6939373000000001,2000,White
11,Female,55 and over,High,0.005184900000000001,2000,White
12,Female,55 and over,Low,0.23317410000000002,2000,White
13,Female,55 and over,Med,0.06457960000000001,2000,White
14,Female,55 and over,Very High,0.0031241000000000003,2000,White
15,Male,18-34,Abs,0.302421630242163,2000,White
16,Male,18-34,High,0.016370701637070162,2000,White
17,Male,18-34,Low,0.6387751638775164,2000,White
18,Male,18-34,Med,0.038105903810590376,2000,White
19,Male,18-34,Very High,0.004326600432660043,2000,White
20,Male,35-54,Abs,0.3562655,2000,White
21,Male,35-54,High,0.0254916,2000,White
22,Male,35-54,Low,0.5622214,2000,White
23,Male,35-54,Med,0.0401295,2000,White
24,Male,35-54,Very High,0.015892,2000,White
25,Male,55 and over,Abs,0.5526695552669555,2000,White
26,Male,55 and over,High,0.011276501127650112,2000,White
27,Male,55 and over,Low,0.38825993882599386,2000,White
28,Male,55 and over,Med,0.047794004779400476,2000,White
29,Male,55 and over,Very High,0.0,2000,White
30,Female,18-34,Abs,0.5290581999999999,2000,Black
31,Female,18-34,High,0.019420299999999998,2000,Black
32,Female,18-34,Low,0.4217141999999999,2000,Black
33,Female,18-34,Med,0.028961899999999992,2000,Black
34,Female,18-34,Very High,0.0008453999999999997,2000,Black
35,Female,35-54,Abs,0.5793697000000001,2000,Black
36,Female,35-54,High,0.004300300000000001,2000,Black
37,Female,35-54,Low,0.37272320000000003,2000,Black
38,Female,35-54,Med,0.042110400000000006,2000,Black
39,Female,35-54,Very High,0.0014964000000000002,2000,Black
40,Female,55 and over,Abs,0.6939373000000001,2000,Black
41,Female,55 and over,High,0.005184900000000001,2000,Black
42,Female,55 and over,Low,0.23317410000000002,2000,Black
43,Female,55 and over,Med,0.06457960000000001,2000,Black
44,Female,55 and over,Very High,0.0031241000000000003,2000,Black
45,Male,18-34,Abs,0.302421630242163,2000,Black
46,Male,18-34,High,0.016370701637070162,2000,Black
47,Male,18-34,Low,0.6387751638775164,2000,Black
48,Male,18-34,Med,0.038105903810590376,2000,Black
49,Male,18-34,Very High,0.004326600432660043,2000,Black
50,Male,35-54,Abs,0.3562655,2000,Black
51,Male,35-54,High,0.0254916,2000,Black
52,Male,35-54,Low,0.5622214,2000,Black
53,Male,35-54,Med,0.0401295,2000,Black
54,Male,35-54,Very High,0.015892,2000,Black
55,Male,55 and over,Abs,0.5526695552669555,2000,Black
56,Male,55 and over,High,0.011276501127650112,2000,Black
57,Male,55 and over,Low,0.38825993882599386,2000,Black
58,Male,55 and over,Med,0.047794004779400476,2000,Black
59,Male,55 and over,Very High,0.0,2000,Black
60,Female,18-34,Abs,0.5290581999999999,2000,Hispanic
61,Female,18-34,High,0.019420299999999998,2000,Hispanic
62,Female,18-34,Low,0.4217141999999999,2000,Hispanic
63,Female,18-34,Med,0.028961899999999992,2000,Hispanic
64,Female,18-34,Very High,0.0008453999999999997,2000,Hispanic
65,Female,35-54,Abs,0.5793697000000001,2000,Hispanic
66,Female,35-54,High,0.004300300000000001,2000,Hispanic
67,Female,35-54,Low,0.37272320000000003,2000,Hispanic
68,Female,35-54,Med,0.042110400000000006,2000,Hispanic
69,Female,35-54,Very High,0.0014964000000000002,2000,Hispanic
70,Female,55 and over,Abs,0.6939373000000001,2000,Hispanic
71,Female,55 and over,High,0.005184900000000001,2000,Hispanic
72,Female,55 and over,Low,0.23317410000000002,2000,Hispanic
73,Female,55 and over,Med,0.06457960000000001,2000,Hispanic
74,Female,55 and over,Very High,0.0031241000000000003,2000,Hispanic
75,Male,18-34,Abs,0.302421630242163,2000,Hispanic
76,Male,18-34,High,0.016370701637070162,2000,Hispanic
77,Male,18-34,Low,0.6387751638775164,2000,Hispanic
78,Male,18-34,Med,0.038105903810590376,2000,Hispanic
79,Male,18-34,Very High,0.004326600432660043,2000,Hispanic
80,Male,35-54,Abs,0.3562655,2000,Hispanic
81,Male,35-54,High,0.0254916,2000,Hispanic
82,Male,35-54,Low,0.5622214,2000,Hispanic
83,Male,35-54,Med,0.0401295,2000,Hispanic
84,Male,35-54,Very High,0.015892,2000,Hispanic
85,Male,55 and over,Abs,0.5526695552669555,2000,Hispanic
86,Male,55 and over,High,0.011276501127650112,2000,Hispanic
87,Male,55 and over,Low,0.38825993882599386,2000,Hispanic
88,Male,55 and over,Med,0.047794004779400476,2000,Hispanic
89,Male,55 and over,Very High,0.0,2000,Hispanic
90,Female,18-34,Abs,0.5290581999999999,2000,Other
91,Female,18-34,High,0.019420299999999998,2000,Other
92,Female,18-34,Low,0.4217141999999999,2000,Other
93,Female,18-34,Med,0.028961899999999992,2000,Other
94,Female,18-34,Very High,0.0008453999999999997,2000,Other
95,Female,35-54,Abs,0.5793697000000001,2000,Other
96,Female,35-54,High,0.004300300000000001,2000,Other
97,Female,35-54,Low,0.37272320000000003,2000,Other
98,Female,35-54,Med,0.042110400000000006,2000,Other
99,Female,35-54,Very High,0.0014964000000000002,2000,Other
100,Female,55 and over,Abs,0.6939373000000001,2000,Other
101,Female,55 and over,High,0.005184900000000001,2000,Other
102,Female,55 and over,Low,0.23317410000000002,2000,Other
103,Female,55 and over,Med,0.06457960000000001,2000,Other
104,Female,55 and over,Very High,0.0031241000000000003,2000,Other
105,Male,18-34,Abs,0.302421630242163,2000,Other
106,Male,18-34,High,0.016370701637070162,2000,Other
107,Male,18-34,Low,0.6387751638775164,2000,Other
108,Male,18-34,Med,0.038105903810590376,2000,Other
109,Male,18-34,Very High,0.004326600432660043,2000,Other
110,Male,35-54,Abs,0.3562655,2000,Other
111,Male,35-54,High,0.0254916,2000,Other
112,Male,35-54,Low,0.5622214,2000,Other
113,Male,35-54,Med,0.0401295,2000,Other
114,Male,35-54,Very High,0.015892,2000,Other
115,Male,55 and over,Abs,0.5526695552669555,2000,Other
116,Male,55 and over,High,0.011276501127650112,2000,Other
117,Male,55 and over,Low,0.38825993882599386,2000,Other
118,Male,55 and over,Med,0.047794004779400476,2000,Other
119,Male,55 and over,Very High,0.0,2000,Other
